# d22" m40" w11mph m_release=2205ft (Data loaded from a file)
# 712 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.266,0.266,26.564,26.564,0,0,0,0,0,0,0.65,-1.706,87.261,0,0,0,90.012,0,2943,615,0.326,0.004,9.798,NaN,67.5,NaN,106.997,1.536e-5,0.654,0.395,0.196,0.063,1.697e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.603,12.51,968.3,338.88,0.017,4.301e5,7.9,50,0.01,0.001,3.082e-5
0.02,0.009,1.197,1.197,93.135,93.135,0,0,0,0,0,0,0.65,-1.706,77.865,0,0,0,90.012,0,2941,613,0.326,0.004,9.798,NaN,67.5,NaN,302.736,0.001,0.652,0.393,0.196,0.063,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.577,12.51,968.3,338.88,0.017,4.373e5,7.9,50,0.01,0.002,1.389e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.026,2.22,2.22,102.354,102.354,0,0,0,0,0,0,0.65,-1.706,68.182,0,0,0,90.012,0,2939,611,0.326,0.004,9.798,NaN,67.5,NaN,329.629,0.007,0.648,0.39,0.196,0.063,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.551,12.51,968.3,338.88,0.018,4.583e5,7.9,50,0.01,0.002,2.576e-4
0.04,0.053,3.195,3.195,97.601,97.601,0,0,0,0,0,0,0.65,-1.706,59.931,0,0,0,90.012,0,2937,609,0.325,0.004,9.798,NaN,67.5,NaN,315.452,0.019,0.643,0.384,0.196,0.063,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.524,12.51,968.3,338.88,0.019,4.893e5,7.9,50,0.01,0.003,3.709e-4
0.05,0.089,4.125,4.125,92.956,92.956,0,0,0,0,0,0,0.65,-1.706,53.113,0,0,0,90.012,0,2935,607,0.325,0.004,9.798,NaN,67.5,NaN,301.619,0.036,0.637,0.378,0.196,0.063,0.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.498,12.51,968.3,338.88,0.02,5.27e5,7.9,50,0.01,0.003,4.787e-4
0.06,0.135,5.046,5.046,92.174,92.174,0,0,0,0,0,0,0.65,-1.706,47.097,0,0,0,90.012,0,2933,605,0.325,0.004,9.798,NaN,67.4,NaN,299.148,0.059,0.631,0.372,0.196,0.063,0.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.43,12.51,968.3,338.88,0.022,5.683e5,7.9,50,0.01,0.004,5.857e-4
0.07,0.19,5.979,5.979,93.268,93.268,0,0,0,0,0,0,0.65,-1.706,41.883,0,0,0,90.012,0,2931,603,0.325,0.004,9.798,NaN,67.4,NaN,302.185,0.087,0.625,0.366,0.196,0.063,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.362,12.509,968.3,338.88,0.024,6.157e5,7.9,50,0.01,0.004,6.939e-4
0.08,0.255,6.922,6.922,94.363,94.363,0,0,0,0,0,0,0.65,-1.706,37.414,0,0,0,90.012,0,2929,601,0.325,0.004,9.798,NaN,67.4,NaN,305.223,0.121,0.619,0.36,0.196,0.063,0.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.294,12.509,968.3,338.879,0.026,6.681e5,7.9,50,0.01,0.005,8.034e-4
0.09,0.329,7.876,7.876,95.457,95.457,0,0,0,0,0,0,0.65,-1.706,33.575,0,0,0,90.012,0,2927,600,0.324,0.004,9.798,NaN,67.4,NaN,308.261,0.159,0.613,0.354,0.196,0.063,0.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.226,12.508,968.3,338.879,0.028,7.247e5,7.9,50,0.01,0.005,9.142e-4
0.1,0.412,8.841,8.841,96.551,96.551,0,0,0,0,0,0,0.65,-1.706,30.252,0,0,0,90.012,0,2925,598,0.324,0.004,9.798,NaN,67.4,NaN,311.299,0.201,0.607,0.348,0.196,0.063,0.668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.159,12.508,968.3,338.879,0.03,7.848e5,7.9,50,0.01,0.006,0.001
0.11,0.506,9.818,9.818,97.646,97.646,0,0,0,0,0,0,0.65,-1.706,27.559,0,0,0,90.012,0,2923,596,0.324,0.004,9.798,NaN,67.3,NaN,314.337,0.247,0.602,0.343,0.196,0.063,0.702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.123,12.507,968.3,338.878,0.033,8.49e5,7.9,50,0.01,0.006,0.001
0.12,0.609,10.803,10.803,98.592,98.592,0,0,0,0,0,0,0.65,-1.706,25.21,0,0,0,90.012,0,2921,594,0.324,0.004,9.798,NaN,67.3,NaN,316.932,0.297,0.597,0.337,0.196,0.063,0.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.088,12.507,968.3,338.878,0.035,9.155e5,7.9,50,0.01,0.007,0.001
0.129,0.713,11.722,11.722,99.288,99.288,0,0,0,0,0,0,0.65,-1.706,23.319,0,0,0,90.012,0,2919,592,0.324,0.004,9.798,NaN,67.3,NaN,318.809,0.348,0.596,0.337,0.196,0.063,0.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.055,12.506,968.2,338.877,0.038,9.787e5,7.9,50,0.009,0.007,0.001
0.138,0.817,12.574,12.574,99.929,99.929,0,0,0,0,0,0,0.65,-1.706,21.772,0,0,0,90.012,0,2918,590,0.323,0.004,9.798,NaN,67.3,NaN,320.538,0.399,0.596,0.337,0.196,0.063,0.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.025,12.505,968.2,338.877,0.04,1.038e6,7.9,50,0.009,0.008,0.001
0.146,0.92,13.374,13.374,100.523,100.523,0,0,0,0,0,0,0.65,-1.706,20.512,0,0,0,90.012,0,2916,588,0.323,0.004,9.798,NaN,67.3,NaN,322.14,0.448,0.596,0.337,0.196,0.063,0.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.997,12.505,968.2,338.877,0.042,1.095e6,7.9,50,0.008,0.008,0.002
# Event LAUNCHROD occurred at t=0.153 seconds
0.153,1.023,14.129,14.129,101.079,101.079,0,0,0,0,0,0,0.65,-1.706,19.481,0,0,0,90.012,0,2914,587,0.323,0.004,9.798,NaN,67.2,NaN,323.639,0.497,0.596,0.337,0.196,0.063,0.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.003,12.504,968.2,338.876,0.044,1.149e6,7.9,50,0.007,0.009,0.002
0.164,1.188,15.27,15.27,101.763,101.774,-8.8e-5,0,8.8e-5,-180.023,0.016,1.449,0.65,-1.706,18.335,0,0.802,-3.094e-5,90.012,-9.935e-5,2912,584,0.323,0.004,9.798,77,67.2,1.248,325.456,0.575,0.596,0.337,0.196,0.063,0.773,5.7,7.111,-4.787e-4,0,0,0,0,3.87e-4,5.078,12.503,968.2,338.876,0.047,1.233e6,7.9,50,0.011,0.009,0.002
0.181,1.459,16.996,16.996,102.638,102.65,-5.64e-4,0,5.64e-4,-180.023,0.041,1.533,0.65,-1.706,16.845,0,2.12,-7.128e-5,89.954,-5.029e-4,2909,581,0.322,0.004,9.798,77.4,67.2,1.302,327.738,0.702,0.596,0.337,0.196,0.063,0.775,5.094,6.632,-2.232e-4,0,0,0,0,0.002,5.189,12.501,968.2,338.875,0.052,1.361e6,7.9,50,0.017,0.01,0.002
0.206,1.921,19.588,19.588,102.754,102.765,-0.002,0,0.002,-180.023,0.08,1.513,0.65,-1.706,14.668,0,4.469,4.77e-6,89.897,-6.343e-4,2903,576,0.322,0.004,9.798,78.1,67.1,1.389,327.677,0.903,0.596,0.337,0.196,0.063,0.765,4.258,5.908,4.006e-4,0,0,0,0,0.008,5.238,12.498,968.1,338.873,0.06,1.553e6,7.9,50,0.025,0.01,0.002
0.244,2.735,23.454,23.455,102.225,102.23,-0.006,-2.095e-8,0.006,-180.023,0.129,0.987,0.65,-1.706,10.886,-4.655e-7,8.308,-1.647e-4,89.668,-1.358e-4,2896,568,0.321,0.004,9.798,79.3,67.1,1.558,325.532,1.188,0.596,0.336,0.196,0.064,0.723,2.945,4.57,9.083e-5,0,0,0,0,0.019,4.799,12.493,968,338.869,0.071,1.833e6,7.9,50,0.038,0.011,0.003
0.282,3.697,27.287,27.287,101.182,101.183,-0.012,-5.776e-8,0.012,-180.023,0.155,0.337,0.65,-1.706,8.995,5.942e-7,12.548,3.926e-5,89.267,-7.099e-5,2888,560,0.32,0.004,9.798,80.1,67,1.663,321.98,1.529,0.597,0.336,0.196,0.064,0.694,2.33,3.843,-1.706e-4,0,0,0,0,0.033,4.839,12.486,967.9,338.866,0.082,2.122e6,7.9,50,0.038,0.011,0.003
0.316,4.669,30.626,30.626,99.601,99.602,-0.017,-1.091e-7,0.017,-180.023,0.153,0.504,0.65,-1.706,7.678,-1.165e-6,16.73,1.43e-4,88.751,-3.241e-4,2881,553,0.32,0.004,9.798,80.6,66.9,1.743,317,1.86,0.597,0.336,0.197,0.064,0.673,1.93,3.319,4.75e-4,0,0,0,0,0.046,4.957,12.48,967.8,338.862,0.091,2.376e6,7.9,50,0.034,0.012,0.004
0.347,5.662,33.66,33.661,98.206,98.218,-0.021,-1.829e-7,0.021,-180.023,0.123,1.56,0.65,-1.706,6.532,0,20.798,5.919e-4,88.178,-4.8e-4,2875,547,0.319,0.004,9.798,81.1,66.8,1.817,312.664,2.183,0.597,0.336,0.197,0.064,0.656,1.605,2.855,1.081e-5,0,0,0,0,0.06,5.074,12.474,967.7,338.858,0.1,2.607e6,7.9,50,0.031,0.012,0.004
0.377,6.708,36.577,36.577,97.938,97.983,-0.024,-2.911e-7,0.024,-180.023,0.056,2.954,0.65,-1.706,5.329,-3.48e-6,24.752,4.322e-4,87.491,-5.976e-4,2869,541,0.318,0.004,9.798,81.7,66.8,1.9,311.668,2.504,0.597,0.336,0.197,0.064,0.639,1.268,2.336,-2.206e-4,0,0,0,0,0.072,5.083,12.467,967.5,338.854,0.109,2.829e6,7.9,50,0.03,0.013,0.004
0.407,7.884,39.597,39.597,97.887,98,-0.024,-4.642e-7,0.024,-180.023,0.061,4.714,0.65,-1.706,4.125,-4.62e-7,28.591,0.001,86.689,-8.617e-4,2863,535,0.318,0.004,9.798,82.4,66.7,1.988,311.406,2.859,0.598,0.336,0.197,0.064,0.624,0.949,1.805,2.869e-4,0,0,0,0,0.082,5.103,12.459,967.4,338.849,0.118,3.06e6,7.9,50,0.031,0.013,0.005
0.441,9.291,42.932,42.933,97.766,98.014,-0.019,-7.742e-7,0.019,-180.023,0.259,6.961,0.65,-1.706,2.922,-4.922e-6,32.258,8.904e-4,85.657,-0.001,2856,528,0.317,0.004,9.798,83,66.6,2.083,311.125,3.293,0.598,0.336,0.198,0.064,0.612,0.648,1.261,4.08e-4,0,0,0,0,0.089,5.207,12.45,967.2,338.844,0.128,3.316e6,7.9,50,0.034,0.014,0.005
0.483,11.155,46.979,46.983,97.492,98.029,-0.001,-1.4e-6,0.001,-179.909,0.614,10.247,0.65,-1.706,1.146,1.267e-5,35.294,0.002,84.225,-0.001,2848,520,0.316,0.004,9.798,84.1,66.5,2.227,310.798,3.866,0.599,0.336,0.198,0.065,0.601,0.249,0.465,7.478e-5,0,0,0,0,0.089,5.09,12.438,967,338.836,0.14,3.625e6,7.9,50,0.041,0.014,0.005
0.533,13.626,51.834,51.849,96.885,97.97,0.044,-2.523e-6,0.044,-0.003,1.235,14.546,0.65,-1.706,0.802,-1.055e-5,-35.237,0.004,82.449,-6.709e-4,2838,510,0.315,0.004,9.798,84.3,66.4,2.272,310.259,4.696,0.599,0.336,0.199,0.065,0.6,0.167,0.451,-2.197e-4,0,0,0,0,-0.073,4.884,12.422,966.7,338.827,0.154,3.997e6,7.9,50,0.05,0.015,0.006
0.583,16.338,56.646,56.684,95.918,97.72,0.126,-3.866e-6,0.126,-0.002,2.069,18.677,0.65,-1.706,2.235,-2.292e-5,-30.138,0.004,80.787,-7.964e-5,2828,500,0.314,0.004,9.798,83.5,66.3,2.176,309.264,5.687,0.6,0.336,0.199,0.065,0.608,0.485,1.099,4.796e-4,0,0,0,0,-0.045,4.847,12.404,966.4,338.816,0.168,4.37e6,7.9,50,0.05,0.015,0.007
0.61,17.892,59.207,59.264,95.284,97.491,0.188,-4.475e-6,0.188,-0.001,2.598,20.623,0.65,-1.706,2.693,1.098e-6,-25.439,5.747e-4,80.042,1.44e-4,2823,495,0.314,0.004,9.798,83.2,66.3,2.146,308.493,6.264,0.6,0.336,0.199,0.065,0.613,0.605,1.327,-2.802e-4,0,0,0,0,-0.029,4.904,12.394,966.2,338.81,0.176,4.569e6,7.9,50,0.027,0.016,0.007
0.63,19.125,61.154,61.229,94.946,97.426,0.246,-4.793e-6,0.246,-0.001,3.033,21.841,0.65,-1.706,2.922,5.394e-6,-21.085,7.976e-4,79.584,3.286e-4,2819,491,0.313,0.004,9.798,83.1,66.2,2.136,308.239,6.715,0.601,0.336,0.2,0.065,0.615,0.66,1.427,8.222e-5,0,0,0,0,-0.019,4.988,12.386,966.1,338.805,0.182,4.722e6,7.9,50,0.02,0.016,0.007
0.648,20.229,62.842,62.936,94.711,97.396,0.304,-4.92e-6,0.304,-9.288e-4,3.43,22.711,0.65,-1.706,3.037,3.093e-6,-16.902,0.001,79.24,5.292e-4,2815,488,0.313,0.004,9.798,83,66.2,2.133,308.107,7.113,0.601,0.335,0.2,0.066,0.616,0.688,1.479,2.67e-4,0,0,0,0,-0.011,5.062,12.379,966,338.801,0.187,4.854e6,7.9,50,0.018,0.016,0.007
0.664,21.262,64.379,64.492,94.521,97.365,0.362,-4.877e-6,0.362,-7.712e-4,3.804,23.36,0.65,-1.706,3.151,0,-12.777,0.001,79.011,6.715e-4,2812,484,0.312,0.004,9.798,83,66.2,2.133,307.99,7.482,0.601,0.335,0.2,0.066,0.617,0.706,1.512,4.038e-4,0,0,0,0,-0.006,5.087,12.372,965.8,338.797,0.192,4.974e6,7.9,50,0.016,0.017,0.007
0.679,22.247,65.807,65.938,94.377,97.331,0.423,-4.674e-6,0.423,-6.337e-4,4.161,23.796,0.65,-1.706,3.151,-1.028e-6,-8.652,0.002,78.839,7.878e-4,2809,482,0.312,0.004,9.798,83,66.1,2.137,307.882,7.828,0.602,0.335,0.2,0.066,0.618,0.709,1.517,4.194e-4,0,0,0,0,-0.003,5.105,12.366,965.7,338.793,0.196,5.086e6,7.9,50,0.015,0.017,0.008
0.694,23.204,67.165,67.316,94.276,97.293,0.485,-4.313e-6,0.485,-5.096e-4,4.506,24.044,0.65,-1.706,3.094,-9.969e-7,-4.584,0.001,78.724,8.657e-4,2806,479,0.312,0.004,9.798,83,66.1,2.145,307.78,8.157,0.602,0.335,0.201,0.066,0.618,0.697,1.496,-4.549e-4,0,0,0,0,-7.257e-4,5.122,12.36,965.6,338.789,0.2,5.192e6,7.9,50,0.014,0.018,0.008
0.708,24.154,68.484,68.655,94.214,97.256,0.55,-3.792e-6,0.55,-3.947e-4,4.843,24.135,0.65,-1.706,3.037,0,-0.573,4.959e-4,78.724,9.144e-4,2804,476,0.312,0.004,9.798,83,66.1,2.155,307.693,8.477,0.602,0.335,0.201,0.066,0.617,0.677,1.458,2.96e-4,0,0,0,0,-9.934e-6,5.121,12.354,965.5,338.785,0.204,5.296e6,7.9,50,0.014,0.018,0.008
0.722,25.107,69.785,69.976,94.303,97.332,0.619,-3.103e-6,0.619,-2.87e-4,5.176,24.093,0.65,-1.706,2.865,6.423e-7,3.438,9.116e-4,78.724,9.19e-4,2801,473,0.311,0.004,9.798,83.1,66,2.168,307.939,8.794,0.602,0.335,0.201,0.066,0.616,0.647,1.401,-4.975e-4,0,0,0,0,3.847e-4,5.107,12.347,965.4,338.781,0.208,5.397e6,7.9,50,0.014,0.018,0.008
0.735,26.079,71.088,71.301,94.484,97.458,0.693,-2.235e-6,0.693,-1.847e-4,5.507,23.892,0.65,-1.706,2.693,3.977e-7,7.448,3.764e-4,78.782,9.087e-4,2798,471,0.311,0.004,9.798,83.2,66,2.185,308.342,9.11,0.603,0.335,0.201,0.066,0.615,0.605,1.32,2.291e-4,0,0,0,0,0.002,5.093,12.341,965.3,338.778,0.212,5.499e6,7.9,50,0.014,0.019,0.008
0.75,27.091,72.423,72.658,94.705,97.58,0.773,-1.16e-6,0.773,-8.594e-5,5.842,23.511,0.65,-1.706,2.464,-1.6e-6,11.345,-2.95e-5,78.954,8.921e-4,2795,468,0.311,0.004,9.798,83.3,66,2.206,308.749,9.435,0.603,0.335,0.201,0.066,0.613,0.551,1.213,-3.41e-4,0,0,0,0,0.004,5.079,12.334,965.2,338.774,0.216,5.603e6,7.9,50,0.014,0.019,0.008
0.764,28.171,73.824,74.083,94.975,97.698,0.862,1.736e-7,0.862,1.154e-5,6.185,22.906,0.65,-1.706,2.177,-3.076e-6,15.183,-3.819e-4,79.125,9.127e-4,2792,465,0.31,0.004,9.798,83.5,65.9,2.233,309.171,9.777,0.603,0.335,0.202,0.067,0.611,0.481,1.068,2.802e-4,0,0,0,0,0.007,5.082,12.327,965,338.769,0.22,5.713e6,7.9,50,0.015,0.019,0.009
0.78,29.372,75.358,75.641,95.301,97.817,0.965,1.873e-6,0.965,1.113e-4,6.547,22.042,0.65,-1.706,1.833,-5.195e-7,18.908,0.002,79.412,9.299e-4,2789,462,0.31,0.004,9.798,83.8,65.9,2.267,309.622,10.155,0.604,0.335,0.202,0.067,0.609,0.395,0.886,-4.845e-5,0,0,0,0,0.01,5.085,12.32,964.9,338.765,0.225,5.832e6,7.9,50,0.016,0.02,0.009
0.799,30.79,77.136,77.448,95.706,97.942,1.09,4.162e-6,1.09,2.188e-4,6.947,20.809,0.65,-1.706,1.318,1.069e-5,22.46,0.002,79.813,9.299e-4,2786,458,0.31,0.004,9.798,84.1,65.9,2.31,310.13,10.606,0.604,0.335,0.202,0.067,0.607,0.287,0.65,-3.166e-4,0,0,0,0,0.013,5.089,12.31,964.7,338.759,0.23,5.971e6,7.9,50,0.019,0.02,0.009
0.823,32.684,79.458,79.805,96.156,97.983,1.264,7.656e-6,1.264,3.47e-4,7.427,18.833,0.65,-1.706,0.63,1.226e-5,25.497,9.139e-4,80.386,8.337e-4,2781,453,0.309,0.004,9.798,84.5,65.8,2.376,310.484,11.224,0.604,0.335,0.203,0.067,0.605,0.13,0.293,2.139e-4,0,0,0,0,0.016,5.164,12.298,964.5,338.752,0.237,6.152e6,7.9,50,0.024,0.02,0.009
0.859,35.631,82.956,83.346,96.591,97.841,1.545,1.391e-5,1.545,5.159e-4,8.05,15.59,0.65,-1.706,0.401,-1.113e-5,-25.611,3.657e-4,81.303,7.855e-4,2774,446,0.308,0.004,9.798,84.7,65.7,2.404,310.489,12.248,0.605,0.335,0.203,0.067,0.606,0.09,0.23,-2.871e-4,0,0,0,0,-0.015,5.262,12.279,964.2,338.74,0.248,6.423e6,7.9,50,0.036,0.021,0.01
0.909,39.9,87.796,88.228,96.927,97.63,1.965,2.451e-5,1.965,7.145e-4,8.72,11.694,0.65,-1.706,1.432,6.068e-5,-17.361,-0.005,82.449,6.692e-4,2764,436,0.307,0.004,9.798,84,65.6,2.338,310.465,13.81,0.606,0.334,0.204,0.068,0.61,0.31,0.732,1.955e-4,0,0,0,0,-0.006,5.264,12.251,963.7,338.723,0.262,6.794e6,7.9,50,0.05,0.021,0.01
0.925,41.306,89.332,89.773,96.749,97.334,2.105,2.828e-5,2.105,7.695e-4,8.896,10.656,0.65,-1.706,1.604,2.061e-6,-13.006,0.002,82.678,5.702e-4,2761,433,0.307,0.004,9.798,83.9,65.6,2.329,309.82,14.32,0.607,0.334,0.204,0.068,0.611,0.354,0.827,4.776e-4,0,0,0,0,-0.003,5.174,12.242,963.5,338.718,0.267,6.91e6,7.9,50,0.016,0.022,0.01
0.939,42.57,90.686,91.136,96.517,97.046,2.231,3.177e-5,2.231,8.159e-4,9.041,10.115,0.65,-1.706,1.719,8.445e-6,-8.881,-0.002,82.85,4.757e-4,2758,430,0.307,0.004,9.798,83.9,65.5,2.328,309.17,14.765,0.607,0.334,0.205,0.068,0.612,0.368,0.859,-2.444e-4,0,0,0,0,-0.001,5.095,12.234,963.3,338.713,0.271,7.013e6,7.9,50,0.014,0.022,0.011
0.953,43.767,91.948,92.405,96.284,96.782,2.35,3.516e-5,2.35,8.571e-4,9.171,9.807,0.65,-1.706,1.719,4.773e-6,-4.813,6.492e-4,82.907,3.469e-4,2755,428,0.306,0.004,9.798,83.9,65.5,2.332,308.582,15.18,0.607,0.334,0.205,0.068,0.613,0.37,0.864,1.41e-4,0,0,0,0,-4.248e-4,5.027,12.226,963.2,338.708,0.275,7.108e6,7.9,50,0.013,0.022,0.011
0.965,44.941,93.167,93.629,96.043,96.529,2.468,3.855e-5,2.468,8.95e-4,9.294,9.676,0.65,-1.706,1.662,4.003e-6,-0.745,8.107e-4,82.964,2.806e-4,2753,425,0.306,0.004,9.798,83.9,65.5,2.338,308.022,15.582,0.608,0.334,0.205,0.069,0.613,0.364,0.852,-2.66e-4,0,0,0,0,-1.041e-5,4.989,12.218,963.1,338.703,0.278,7.2e6,7.9,50,0.013,0.023,0.011
0.978,46.115,94.367,94.835,95.786,96.28,2.585,4.2e-5,2.585,9.311e-4,9.416,9.746,0.65,-1.706,1.604,3.367e-6,3.209,-8.039e-4,82.964,2.598e-4,2750,423,0.306,0.004,9.798,84,65.5,2.348,307.475,15.976,0.608,0.334,0.205,0.069,0.613,0.347,0.815,6.642e-5,0,0,0,0,1.807e-4,4.951,12.211,962.9,338.699,0.282,7.291e6,7.9,50,0.013,0.023,0.011
0.99,47.325,95.584,96.059,95.505,96.03,2.705,4.56e-5,2.705,9.654e-4,9.541,10.02,0.65,-1.706,1.49,5.698e-6,7.105,-6.257e-5,82.85,3.27e-4,2748,420,0.305,0.004,9.798,84,65.4,2.362,306.927,16.375,0.608,0.334,0.206,0.069,0.612,0.319,0.754,-3.287e-6,0,0,0,0,8.657e-4,4.912,12.203,962.8,338.694,0.285,7.383e6,7.9,50,0.013,0.024,0.011
1.004,48.618,96.865,97.347,95.284,95.864,2.835,4.951e-5,2.835,0.001,9.679,10.525,0.65,-1.706,1.318,4.133e-6,10.943,-0.002,82.735,5.457e-4,2745,418,0.305,0.004,9.798,84.1,65.4,2.381,306.623,16.797,0.609,0.334,0.206,0.069,0.612,0.28,0.666,3.89e-4,0,0,0,0,0.002,4.877,12.194,962.6,338.689,0.289,7.481e6,7.9,50,0.013,0.024,0.011
1.019,50.064,98.299,98.791,96.728,97.411,2.979,5.399e-5,2.979,0.001,9.843,11.515,0.65,-1.706,1.089,6.142e-6,14.668,-0.006,82.563,9.631e-4,2742,415,0.305,0.004,9.798,84.3,65.4,2.404,311.041,17.275,0.609,0.334,0.206,0.069,0.611,0.229,0.547,1.58e-4,0,0,0,0,0.003,4.855,12.185,962.5,338.683,0.293,7.59e6,7.9,50,0.015,0.024,0.011
1.036,51.797,100.017,100.522,98.12,98.967,3.153,5.956e-5,3.153,0.001,10.059,12.927,0.65,-1.706,0.745,6.56e-6,18.105,-0.009,82.277,0.002,2739,411,0.304,0.004,9.798,84.5,65.3,2.437,315.514,17.861,0.61,0.334,0.207,0.069,0.611,0.158,0.379,-4.876e-4,0,0,0,0,0.005,4.829,12.174,962.3,338.676,0.299,7.72e6,7.9,50,0.017,0.025,0.012
1.061,54.267,102.371,102.897,96.183,97.301,3.403,6.81e-5,3.403,0.001,10.393,14.711,0.65,-1.706,0.229,1.537e-6,20.741,-0.029,81.818,0.003,2734,406,0.304,0.004,9.798,84.9,65.3,2.487,311.229,18.696,0.61,0.333,0.207,0.07,0.61,0.049,0.115,4.779e-4,0,0,0,0,0.006,4.786,12.158,962,338.667,0.306,7.9e6,7.9,50,0.024,0.025,0.012
1.097,58.079,105.846,106.415,94.587,96.228,3.794,8.348e-5,3.794,0.001,10.987,17.696,0.65,-1.706,0.516,-5.034e-5,-19.194,-0.003,81.016,0.004,2727,399,0.303,0.004,9.798,84.7,65.2,2.477,308.711,20.026,0.611,0.333,0.208,0.07,0.612,0.106,0.268,3.239e-5,0,0,0,0,-0.005,4.709,12.133,961.5,338.651,0.316,8.166e6,7.9,50,0.037,0.026,0.012
1.126,61.216,108.633,109.244,94.942,97.008,4.123,9.88e-5,4.123,0.001,11.543,19.918,0.65,-1.706,0.917,4.705e-5,-13.522,-0.013,80.558,0.005,2721,393,0.302,0.004,9.798,84.4,65.1,2.454,311.193,21.163,0.612,0.333,0.209,0.07,0.614,0.197,0.485,4.357e-4,0,0,0,0,-0.002,4.722,12.113,961.2,338.639,0.324,8.38e6,7.9,50,0.029,0.026,0.013
1.142,62.949,110.164,110.802,96.562,98.822,4.309,1.084e-4,4.309,0.001,11.871,21.014,0.65,-1.706,1.031,5.901e-6,-9.11,-0.003,80.386,0.005,2718,390,0.302,0.003,9.798,84.4,65.1,2.448,316.354,21.801,0.613,0.333,0.209,0.071,0.615,0.226,0.554,-4.15e-4,0,0,0,0,-0.001,4.734,12.101,960.9,338.632,0.329,8.498e6,7.9,50,0.016,0.026,0.013
1.156,64.455,111.474,112.135,96.288,98.635,4.472,1.175e-4,4.472,0.002,12.159,21.387,0.65,-1.706,1.089,5.884e-6,-4.927,-0.003,80.271,0.005,2715,387,0.302,0.003,9.798,84.3,65,2.449,316.059,22.346,0.613,0.333,0.209,0.071,0.615,0.238,0.583,4.789e-4,0,0,0,0,-3.053e-4,4.728,12.092,960.8,338.626,0.333,8.599e6,7.9,50,0.014,0.027,0.013
1.169,65.87,112.679,113.363,95.46,97.83,4.627,1.265e-4,4.627,0.002,12.428,21.404,0.65,-1.706,1.089,6.727e-6,-0.859,-0.006,80.271,0.004,2713,385,0.301,0.003,9.798,84.3,65,2.453,314.088,22.848,0.613,0.333,0.21,0.071,0.616,0.239,0.587,1.215e-4,0,0,0,0,-8.852e-6,4.705,12.082,960.6,338.621,0.337,8.692e6,7.9,50,0.013,0.027,0.013
1.181,67.26,113.842,114.547,94.715,97.055,4.781,1.358e-4,4.781,0.002,12.689,21.184,0.65,-1.706,1.089,5.072e-6,3.151,-0.005,80.271,0.004,2710,382,0.301,0.003,9.798,84.4,65,2.461,312.216,23.33,0.614,0.333,0.21,0.071,0.616,0.229,0.564,4.486e-4,0,0,0,0,1.183e-4,4.682,12.073,960.4,338.615,0.34,8.781e6,7.9,50,0.012,0.028,0.013
