# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​)
49.347,-12.807,12.811,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,135.034,NaN,NaN
49.35,-12.685,12.69,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,132.527,NaN,NaN
49.353,-12.562,12.567,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,130.023,NaN,NaN
49.356,-12.438,12.443,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,127.529,NaN,NaN
49.359,-12.313,12.319,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,125.041,NaN,NaN
49.362,-12.187,12.194,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,122.556,NaN,NaN
49.366,-12.059,12.067,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,120.074,NaN,NaN
49.369,-11.931,11.939,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,117.595,NaN,NaN
49.373,-11.8,11.81,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,115.119,NaN,NaN
49.377,-11.669,11.68,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,112.646,NaN,NaN
49.381,-11.536,11.548,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,110.177,NaN,NaN
49.385,-11.402,11.415,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,107.711,NaN,NaN
49.39,-11.266,11.281,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,105.249,NaN,NaN
49.394,-11.128,11.145,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,102.791,NaN,NaN
49.399,-10.989,11.008,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,100.338,NaN,NaN
49.404,-10.849,10.869,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,97.889,NaN,NaN
49.409,-10.71,10.728,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,95.369,NaN,NaN
49.415,-10.571,10.587,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,92.905,NaN,NaN
49.42,-10.43,10.443,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,90.467,NaN,NaN
49.426,-10.287,10.298,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,88.035,NaN,NaN
49.433,-10.143,10.152,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,85.609,NaN,NaN
49.439,-9.996,10.003,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,83.19,NaN,NaN
49.446,-9.848,9.853,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,80.778,NaN,NaN
49.453,-9.698,9.701,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,78.373,NaN,NaN
49.461,-9.544,9.547,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,75.98,NaN,NaN
49.47,-9.388,9.39,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,73.585,NaN,NaN
49.479,-9.23,9.23,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,71.187,NaN,NaN
49.488,-9.069,9.069,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,68.799,NaN,NaN
49.498,-8.906,8.906,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,66.421,NaN,NaN
49.51,-8.74,8.74,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,64.054,NaN,NaN
49.522,-8.57,8.57,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,61.695,NaN,NaN
49.535,-8.397,8.397,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,59.319,NaN,NaN
49.549,-8.221,8.222,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,56.954,NaN,NaN
49.565,-8.043,8.044,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,54.602,NaN,NaN
49.582,-7.861,7.863,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,52.26,NaN,NaN
49.602,-7.677,7.679,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,49.933,NaN,NaN
49.624,-7.49,7.492,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,47.622,NaN,NaN
49.648,-7.304,7.305,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,45.32,NaN,NaN
49.675,-7.115,7.115,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,43.089,NaN,NaN
49.707,-6.926,6.927,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,40.889,NaN,NaN
49.742,-6.742,6.745,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,38.791,NaN,NaN
49.777,-6.59,6.612,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,36.983,NaN,NaN
49.83,-6.385,6.405,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,35.336,NaN,NaN
49.887,-6.219,6.228,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,33.045,NaN,NaN
49.97,-6.029,6.034,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,31.319,NaN,NaN
50.057,-5.888,5.915,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,29.725,NaN,NaN
50.224,-5.705,5.724,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,28.382,NaN,NaN
50.318,-5.671,5.673,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.333,NaN,NaN
50.499,-5.62,5.63,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.18,NaN,NaN
50.999,-5.58,5.58,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.614,NaN,NaN
51.499,-5.604,5.604,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.301,NaN,NaN
51.999,-5.589,5.589,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.484,NaN,NaN
52.248,-5.573,5.591,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.781,NaN,NaN
52.701,-5.597,5.598,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.328,NaN,NaN
53.201,-5.6,5.6,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.342,NaN,NaN
53.701,-5.592,5.592,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.426,NaN,NaN
53.98,-5.571,5.585,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.794,NaN,NaN
54.116,-5.58,5.588,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.253,NaN,NaN
54.547,-5.602,5.602,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.246,NaN,NaN
55.047,-5.57,5.57,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.635,NaN,NaN
55.34,-5.586,5.591,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.293,NaN,NaN
55.84,-5.599,5.599,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.303,NaN,NaN
56.128,-5.562,5.577,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.971,NaN,NaN
56.324,-5.584,5.584,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.08,NaN,NaN
56.556,-5.583,5.59,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.447,NaN,NaN
56.816,-5.592,5.592,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.278,NaN,NaN
57.316,-5.591,5.591,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.376,NaN,NaN
57.816,-5.591,5.591,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.36,NaN,NaN
58.073,-5.552,5.578,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.144,NaN,NaN
58.39,-5.579,5.585,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.262,NaN,NaN
58.568,-5.58,5.589,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.434,NaN,NaN
59.068,-5.578,5.578,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.468,NaN,NaN
59.344,-5.576,5.583,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.498,NaN,NaN
59.475,-5.573,5.595,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.588,NaN,NaN
59.975,-5.574,5.574,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.489,NaN,NaN
60.475,-5.592,5.592,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.293,NaN,NaN
60.874,-5.528,5.535,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.148,NaN,NaN
61.119,-5.577,5.578,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.837,NaN,NaN
61.303,-5.569,5.588,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.66,NaN,NaN
61.479,-5.579,5.579,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.221,NaN,NaN
61.673,-5.572,5.586,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.597,NaN,NaN
62.173,-5.579,5.579,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.406,NaN,NaN
62.673,-5.58,5.58,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.399,NaN,NaN
63.092,-5.577,5.578,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.427,NaN,NaN
63.592,-5.56,5.56,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.593,NaN,NaN
63.889,-5.577,5.58,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.262,NaN,NaN
64.389,-5.582,5.582,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.349,NaN,NaN
64.889,-5.577,5.577,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.398,NaN,NaN
65.389,-5.581,5.581,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.35,NaN,NaN
65.889,-5.577,5.577,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.381,NaN,NaN
66.389,-5.579,5.579,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.355,NaN,NaN
66.742,-5.549,5.556,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.784,NaN,NaN
67.107,-5.583,5.584,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.132,NaN,NaN
67.416,-5.565,5.569,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.612,NaN,NaN
67.661,-5.573,5.574,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.297,NaN,NaN
67.999,-5.575,5.575,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.358,NaN,NaN
68.381,-5.548,5.552,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.732,NaN,NaN
68.561,-5.557,5.569,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.336,NaN,NaN
68.751,-5.569,5.569,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.202,NaN,NaN
68.938,-5.563,5.576,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.563,NaN,NaN
69.226,-5.536,5.554,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.948,NaN,NaN
69.401,-5.559,5.559,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.021,NaN,NaN
69.561,-5.557,5.575,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.541,NaN,NaN
70.061,-5.546,5.547,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.618,NaN,NaN
70.276,-5.553,5.566,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.435,NaN,NaN
70.776,-5.563,5.563,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.433,NaN,NaN
71.276,-5.57,5.57,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.366,NaN,NaN
71.776,-5.571,5.571,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.352,NaN,NaN
71.966,-5.51,5.589,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,27.046,NaN,NaN
72.06,-5.527,5.536,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.925,NaN,NaN
72.352,-5.557,5.563,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.213,NaN,NaN
72.634,-5.569,5.569,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.256,NaN,NaN
72.937,-5.558,5.562,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.544,NaN,NaN
73.437,-5.569,5.569,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.333,NaN,NaN
73.692,-5.541,5.559,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.927,NaN,NaN
74.115,-5.563,5.564,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.325,NaN,NaN
74.43,-5.563,5.564,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.388,NaN,NaN
74.741,-5.561,5.563,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.416,NaN,NaN
75.241,-5.564,5.564,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.366,NaN,NaN
75.741,-5.565,5.565,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.358,NaN,NaN
76.241,-5.545,5.546,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.551,NaN,NaN
76.741,-5.576,5.576,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.202,NaN,NaN
77.079,-5.521,5.531,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.084,NaN,NaN
77.579,-5.52,5.521,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.75,NaN,NaN
77.985,-5.574,5.574,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.047,NaN,NaN
78.317,-5.55,5.552,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.615,NaN,NaN
78.817,-5.557,5.557,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.377,NaN,NaN
79.317,-5.51,5.51,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.873,NaN,NaN
79.486,-5.519,5.552,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.533,NaN,NaN
79.574,-5.53,5.533,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.038,NaN,NaN
80.074,-5.575,5.575,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.152,NaN,NaN
80.323,-5.529,5.55,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.158,NaN,NaN
80.786,-5.547,5.548,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.417,NaN,NaN
81.204,-5.561,5.561,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.274,NaN,NaN
81.704,-5.543,5.543,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.498,NaN,NaN
82.204,-5.561,5.561,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.282,NaN,NaN
82.466,-5.523,5.543,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.049,NaN,NaN
82.709,-5.546,5.549,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.153,NaN,NaN
83.209,-5.552,5.552,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.366,NaN,NaN
83.709,-5.547,5.548,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.414,NaN,NaN
83.993,-5.529,5.54,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.748,NaN,NaN
84.493,-5.548,5.548,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.374,NaN,NaN
84.993,-5.553,5.553,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.333,NaN,NaN
85.493,-5.545,5.545,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.412,NaN,NaN
85.756,-5.516,5.536,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.98,NaN,NaN
85.944,-5.537,5.538,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.072,NaN,NaN
86.097,-5.528,5.558,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.785,NaN,NaN
86.27,-5.538,5.542,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.252,NaN,NaN
86.598,-5.55,5.55,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.265,NaN,NaN
86.894,-5.53,5.538,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.685,NaN,NaN
87.065,-5.537,5.543,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.317,NaN,NaN
87.246,-5.521,5.553,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.917,NaN,NaN
87.548,-5.533,5.539,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.386,NaN,NaN
87.676,-5.527,5.558,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.713,NaN,NaN
88.176,-5.521,5.522,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.599,NaN,NaN
88.458,-5.541,5.543,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.21,NaN,NaN
88.958,-5.54,5.54,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.413,NaN,NaN
89.221,-5.52,5.535,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.782,NaN,NaN
89.429,-5.538,5.538,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.149,NaN,NaN
89.597,-5.527,5.551,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.753,NaN,NaN
89.954,-5.492,5.503,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.027,NaN,NaN
90.115,-5.519,5.522,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.941,NaN,NaN
90.42,-5.531,5.536,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.374,NaN,NaN
90.92,-5.522,5.523,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.552,NaN,NaN
91.389,-5.554,5.554,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.187,NaN,NaN
91.889,-5.53,5.53,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.491,NaN,NaN
92.295,-5.523,5.525,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.544,NaN,NaN
92.795,-5.547,5.547,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.258,NaN,NaN
93.295,-5.532,5.532,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.445,NaN,NaN
93.795,-5.535,5.535,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.385,NaN,NaN
94.295,-5.539,5.539,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.34,NaN,NaN
94.795,-5.528,5.528,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.452,NaN,NaN
95.295,-5.541,5.541,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.299,NaN,NaN
95.795,-5.53,5.53,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.416,NaN,NaN
96.295,-5.532,5.532,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.377,NaN,NaN
96.694,-5.521,5.522,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.523,NaN,NaN
97.194,-5.541,5.541,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.259,NaN,NaN
97.694,-5.513,5.513,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.569,NaN,NaN
98.194,-5.523,5.524,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.425,NaN,NaN
98.374,-5.499,5.541,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.146,NaN,NaN
98.591,-5.512,5.523,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.341,NaN,NaN
98.93,-5.532,5.532,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.228,NaN,NaN
99.43,-5.525,5.525,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.416,NaN,NaN
99.855,-5.518,5.519,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.486,NaN,NaN
100.355,-5.533,5.533,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.301,NaN,NaN
100.855,-5.517,5.517,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.478,NaN,NaN
101.236,-5.518,5.52,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.442,NaN,NaN
101.736,-5.532,5.532,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.292,NaN,NaN
102.236,-5.511,5.511,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.522,NaN,NaN
102.519,-5.506,5.516,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.573,NaN,NaN
102.835,-5.526,5.526,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.211,NaN,NaN
103.335,-5.522,5.522,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.387,NaN,NaN
103.835,-5.524,5.524,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.354,NaN,NaN
104.335,-5.522,5.522,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.373,NaN,NaN
104.835,-5.517,5.517,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.411,NaN,NaN
105.335,-5.524,5.524,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.324,NaN,NaN
105.835,-5.509,5.51,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.481,NaN,NaN
106.153,-5.505,5.51,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.532,NaN,NaN
106.389,-5.516,5.517,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.259,NaN,NaN
106.889,-5.514,5.514,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.41,NaN,NaN
107.389,-5.519,5.519,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.345,NaN,NaN
107.638,-5.482,5.507,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.123,NaN,NaN
107.815,-5.503,5.505,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.069,NaN,NaN
107.979,-5.507,5.515,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.385,NaN,NaN
108.479,-5.515,5.515,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.368,NaN,NaN
108.877,-5.508,5.509,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.459,NaN,NaN
109.301,-5.517,5.517,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.319,NaN,NaN
109.562,-5.492,5.506,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.83,NaN,NaN
109.898,-5.513,5.515,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.24,NaN,NaN
110.176,-5.508,5.511,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.471,NaN,NaN
110.676,-5.515,5.515,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.343,NaN,NaN
111.155,-5.465,5.466,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.883,NaN,NaN
111.358,-5.489,5.5,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.177,NaN,NaN
111.858,-5.521,5.521,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.238,NaN,NaN
112.131,-5.49,5.501,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.866,NaN,NaN
112.631,-5.461,5.462,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.853,NaN,NaN
112.823,-5.485,5.497,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.17,NaN,NaN
113.127,-5.51,5.51,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.168,NaN,NaN
113.349,-5.478,5.507,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.107,NaN,NaN
113.849,-5.456,5.457,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.874,NaN,NaN
114.021,-5.476,5.495,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.239,NaN,NaN
114.123,-5.486,5.492,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.149,NaN,NaN
114.228,-5.493,5.497,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.215,NaN,NaN
114.411,-5.493,5.506,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.496,NaN,NaN
114.559,-5.5,5.501,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.246,NaN,NaN
114.659,-5.488,5.542,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.039,NaN,NaN
114.792,-5.459,5.553,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,26.694,NaN,NaN
114.954,-5.464,5.504,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.657,NaN,NaN
115.059,-5.479,5.48,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.975,NaN,NaN
115.196,-5.49,5.496,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.224,NaN,NaN
115.387,-5.501,5.501,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.213,NaN,NaN
115.887,-5.505,5.505,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.365,NaN,NaN
116.009,-5.434,5.633,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,28.461,NaN,NaN
116.433,-5.301,5.316,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,27.718,NaN,NaN
116.574,-5.397,5.406,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,23.659,NaN,NaN
116.731,-5.439,5.472,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.979,NaN,NaN
116.849,-5.466,5.466,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,24.772,NaN,NaN
117.182,-5.506,5.508,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.076,NaN,NaN
117.374,-5.489,5.508,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.795,NaN,NaN
117.874,-5.471,5.472,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.673,NaN,NaN
118.126,-5.493,5.497,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.208,NaN,NaN
118.626,-5.474,5.475,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.635,NaN,NaN
118.818,-5.473,5.498,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.658,NaN,NaN
119.318,-5.479,5.48,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.552,NaN,NaN
119.585,-5.494,5.497,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.259,NaN,NaN
119.845,-5.496,5.498,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.37,NaN,NaN
120.331,-5.477,5.478,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.593,NaN,NaN
120.831,-5.515,5.515,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.169,NaN,NaN
121.331,-5.484,5.484,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.524,NaN,NaN
121.831,-5.505,5.505,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.258,NaN,NaN
122.331,-5.486,5.486,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.474,NaN,NaN
122.831,-5.496,5.496,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.348,NaN,NaN
123.331,-5.489,5.489,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.417,NaN,NaN
123.831,-5.488,5.488,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.415,NaN,NaN
124.331,-5.487,5.487,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.418,NaN,NaN
124.682,-5.482,5.485,NaN,NaN,2589,NaN,NaN,NaN,NaN,0,25.488,NaN,NaN
